********************************************************************************
Field Output Report, written Tue May 12 11:38:49 2026

Source 1
---------

   ODB: C:/Temp/ABAQUS/Enrico_test_flow/Flow_in_pipe.odb
   Step: Heat_transfer_step
   Frame: Increment      1: Step Time =    1.000

Loc 1 : Nodal values from source 1

Output sorted by column "Node Label".

Field Output reported at nodes for part: PIPE-1
   Computation algorithm: EXTRAPOLATE_COMPUTE_AVERAGE
   Averaged at nodes
   Averaging regions: ODB_REGIONS

      Node Label        HFL.HFL1        HFL.HFL2        HFL.HFL3
                          @Loc 1          @Loc 1          @Loc 1
-----------------------------------------------------------------
             347     999.956E-03     248.081E-03    -15.2318E-03
             348         1.00006     248.229E-03     12.6391E-03
             349         1.00010     367.971E-03     16.9376E-03
             350         1.00012     353.342E-03    -32.9929E-03
             351         1.00002     260.216E-03     12.8816E-03
             352     999.989E-03     278.033E-03    -3.85676E-03
             353     999.993E-03     360.476E-03     29.6969E-03
             354     999.545E-03     348.399E-03     32.6057E-03
             355     999.793E-03     370.800E-03     6.65600E-03
             356     999.759E-03     346.791E-03     2.56434E-03
             357         1.00092     361.185E-03    -28.6380E-03
             358         1.00000     370.109E-03    -10.1525E-03
             359         1.00017     185.528E-03     14.2364E-03
             360         1.00014     197.849E-03    -9.91081E-03
             361     999.923E-03     232.384E-03     12.1945E-03
             362         1.00010     209.003E-03    -14.4829E-03
             363         1.00004     310.262E-03     10.2719E-03
             364         1.00000     332.161E-03    -23.3755E-03
             365     999.886E-03     266.657E-03    -10.2568E-03
             366         1.00026     206.440E-03    -24.8548E-03
             367     999.710E-03     323.454E-03     29.6377E-03
             368     999.971E-03     282.984E-03    -3.99896E-03
             369         1.00001     269.433E-03    -8.57449E-03
             370         1.00010     283.643E-03     4.08039E-03
             371         1.00008     226.164E-03    -8.53112E-03
             372         1.00001     369.503E-03     6.69061E-03
             373         1.00025     361.989E-03    -23.2927E-03
             374         1.00011     230.323E-03    -18.5894E-03
             375         1.00014     146.773E-03     28.0771E-03
             376     999.937E-03     345.041E-03    -30.1043E-03
             377         1.00024     355.058E-03     23.6687E-03
             378         1.00021     215.946E-03     10.3301E-03
             379         1.00005     221.015E-03    -17.2969E-03
             380         1.00025     325.466E-03     19.5012E-03
             381         1.00019     338.744E-03     42.9787E-03
             382         1.00004     198.963E-03     7.08548E-03
             383     999.980E-03     258.630E-03     7.69994E-03
             384     999.871E-03     370.339E-03    -1.87123E-03
             385     999.904E-03     217.050E-03    -4.20955E-03
             386     999.564E-03     371.112E-03    -2.13385E-03
             387     999.917E-03     337.647E-03     29.8769E-03
             388     999.867E-03     286.541E-03    -3.83630E-03
             389         1.00009     270.486E-03     8.93477E-03
             390     999.997E-03     322.800E-03     10.9842E-03
             391         1.00011     236.120E-03    -11.2982E-03
             392         1.00025     364.661E-03     13.2610E-03
             393     999.578E-03     352.727E-03    -22.8562E-03
             394         1.00000     248.723E-03    -12.2654E-03
             395     999.732E-03     346.709E-03     23.9645E-03
             396     999.981E-03     184.884E-03     2.85618E-03
             397     999.927E-03     243.607E-03    -3.89026E-03
             398         1.00010     243.117E-03     6.96653E-03
             399     999.949E-03     274.065E-03     6.50035E-03
             400     999.960E-03     209.057E-03     1.12630E-03
             401     999.807E-03     266.592E-03     9.39522E-03
             402     999.669E-03     356.889E-03    -15.3050E-03
             403     999.811E-03     342.857E-03    -21.0409E-03
             404         1.00007     272.071E-03    -6.58447E-03
             405     999.905E-03     369.435E-03    -9.83283E-03
             406         1.00001     286.990E-03     3.89059E-03
